2026-01-14 20:45:29 - INFO - ========================================================================================================================================================================================================
2026-01-14 20:45:29 - INFO - Executing LLAMBO (discriminative | top_pct: None) to tune MLP_SGD on diabetes with seed 1 / 1...
2026-01-14 20:45:29 - INFO - Task context: {'model': 'MLP_SGD', 'task': 'regression', 'tot_feats': 10, 'cat_feats': 0, 'num_feats': 10, 'n_classes': 194, 'metric': 'neg_mean_squared_error', 'lower_is_better': True, 'num_samples': 353, 'hyperparameter_constraints': {'hidden_layer_sizes': ['int', 'linear', [50, 200]], 'alpha': ['float', 'log', [1e-05, 10.0]], 'batch_size': ['int', 'linear', [10, 250]], 'learning_rate_init': ['float', 'log', [1e-05, 0.1]], 'power_t': ['float', 'logit', [0.1, 0.9]], 'momentum': ['float', 'logit', [0.001, 0.999]]}}
2026-01-14 21:05:34 - INFO - [LLAMBO] Query cost: 1.4891
2026-01-14 21:05:34 - INFO - [LLAMBO] Query time: 1181.5250
2026-01-14 21:05:34 - INFO -     hidden_layer_sizes     alpha  batch_size  learning_rate_init   power_t  momentum     score  generalization_score  max  min
0                  139  1.163040         216            0.024491  0.393578  0.014223  0.976327              0.848912    0    0
1                   95  0.000022          75            0.000814  0.595670  0.027525  1.032407              0.875518    0    0
2                  109  1.038658          91            0.003915  0.224591  0.743104  0.994316              0.819256    0    0
3                   71  1.661589         124            0.015982  0.313806  0.108729  0.986715              0.842839    0    0
4                  158  0.031054         139            0.010826  0.126201  0.026339  1.008315              0.833013    0    0
5                  163  0.000010         234            0.000010  0.100000  0.001000  1.005725              0.850597    0    0
6                  127  0.000310          55            0.039060  0.900000  0.864000  1.000587              0.813663    0    0
7                  126  0.000110          67            0.001070  0.100000  0.998000  0.895634              0.700334    0    0
8                  129  0.000710          99            0.000010  0.100000  0.998000  1.014026              0.847120    0    0
9                  200  0.000010          10            0.000010  0.100000  0.999000  0.986857              0.857945    0    0
10                 200  0.000210         132            0.000410  0.300000  0.741000  1.027969              0.857967    0    0
11                 123  0.000670         157            0.000430  0.600000  0.028000  0.972144              0.814858    0    0
12                  77  0.000030         211            0.000680  0.600000  0.999000  1.027738              0.860372    0    0
13                 176  0.000010         131            0.000010  0.700000  0.001000  1.030633              0.874702    0    0
14                 107  0.000110         137            0.000110  0.800000  0.755000  1.128703              0.968865    0    0
15                 200  0.000020         114            0.000010  0.900000  0.001000  1.028124              0.858080    0    0
16                 182  0.000110         136            0.000010  0.900000  0.999000  1.013267              0.842688    0    0
17                  50  0.000010         250            0.100000  0.900000  0.999000  1.190466              0.843160    1    0
18                 200  0.000050         100            0.000200  0.500000  0.250000  1.028106              0.858053    0    0
19                  87  0.000050          88            0.030000  0.700000  0.998000  1.039759              0.616216    0    0
20                 164  0.000460          43            0.002710  0.200000  0.998000  0.665090              0.551244    0    1
21                 200  0.000130         156            0.002460  0.600000  0.709000  1.027817              0.856864    0    0
22                 155  0.000320          50            0.000890  0.400000  0.001000  0.981064              0.826740    0    0
23                 200  0.000140          34            0.000630  0.200000  0.998000  0.864066              0.694254    0    0
24                  94  0.000030          21            0.000060  0.300000  0.008000  1.020901              0.879146    0    0
25                  76  0.000020         137            0.000010  0.500000  0.755000  1.081056              0.902830    0    0
26                 113  0.000380          21            0.000740  0.300000  0.841000  1.017186              0.848036    0    0
27                 129  0.000300         116            0.000590  0.600000  0.992000  1.011562              0.846875    0    0
28                 198  0.000020         125            0.000190  0.500000  0.743000  1.022773              0.868560    0    0
29                 116  0.000060         203            0.000440  0.900000  0.999000  0.989057              0.829359    0    0
2026-01-14 21:05:34 - INFO - [LLAMBO] RUN COMPLETE, saved results to /Users/davide/Desktop/Artificial Intelligence/llambo/exp_bayesmark/results_discriminative/diabetes/MLP_SGD...
2026-01-14 21:05:34 - INFO - ========================================================================================================================================================================================================
2026-01-14 21:05:34 - INFO - [LLAMBO] 1 evaluation runs complete! Total cost: $1.4891
