2026-01-15 11:29:40 - INFO - ========================================================================================================================================================================================================
2026-01-15 11:29:40 - INFO - Executing LLAMBO (discriminative | top_pct: None) to tune AdaBoost on iris with seed 1 / 1...
2026-01-15 11:29:40 - INFO - Task context: {'model': 'AdaBoost', 'task': 'classification', 'tot_feats': 4, 'cat_feats': 0, 'num_feats': 4, 'n_classes': 3, 'metric': 'accuracy', 'lower_is_better': False, 'num_samples': 120, 'hyperparameter_constraints': {'n_estimators': ['int', 'linear', [10, 100]], 'learning_rate': ['float', 'log', [0.0001, 10.0]]}}
2026-01-15 11:42:29 - INFO - [LLAMBO] Query cost: 0.8474
2026-01-15 11:42:29 - INFO - [LLAMBO] Query time: 744.8546
2026-01-15 11:42:29 - INFO -     n_estimators  learning_rate     score  generalization_score  max  min
0             63       1.664672  0.925000              0.966667    0    0
1             87       1.722895  0.933333              0.966667    0    0
2             66       0.008354  0.925000              0.900000    0    0
3             37       0.000192  0.691667              0.566667    0    1
4             35       0.024453  0.916667              0.900000    0    0
5             77       0.011600  0.925000              0.900000    0    0
6             81       0.001700  0.950000              0.966667    1    0
7             92       0.039800  0.916667              0.900000    0    0
8             99       0.000100  0.691667              0.566667    0    0
9             78       0.001600  0.950000              0.966667    0    0
10            66       0.001700  0.950000              0.966667    0    0
11            80       0.004200  0.941667              0.966667    0    0
12            80       0.002600  0.933333              0.966667    0    0
13            99       0.000800  0.950000              0.966667    0    0
14            66       0.001800  0.950000              0.966667    0    0
15            88       0.113200  0.916667              0.900000    0    0
16            80       0.002500  0.941667              0.966667    0    0
17            99       0.000900  0.950000              0.966667    0    0
18           100       0.000100  0.691667              0.566667    0    0
19            46       0.002400  0.941667              0.966667    0    0
20            97       0.000500  0.950000              0.966667    0    0
21            84       0.000500  0.933333              0.966667    0    0
22            67       0.000700  0.941667              0.966667    0    0
23            79       0.001300  0.950000              0.966667    0    0
24            89       0.000600  0.950000              0.966667    0    0
25            56       0.001100  0.950000              0.966667    0    0
26            92       0.001400  0.950000              0.966667    0    0
27            86       0.000200  0.783333              0.566667    0    0
28            74       0.001400  0.950000              0.966667    0    0
29            67       0.001200  0.950000              0.966667    0    0
2026-01-15 11:42:29 - INFO - [LLAMBO] RUN COMPLETE, saved results to /Users/davide/Desktop/Artificial Intelligence/llambo/exp_bayesmark/results_discriminative/iris/AdaBoost...
2026-01-15 11:42:29 - INFO - ========================================================================================================================================================================================================
2026-01-15 11:42:29 - INFO - [LLAMBO] 1 evaluation runs complete! Total cost: $0.8474
