2026-01-15 11:11:32 - INFO - ========================================================================================================================================================================================================
2026-01-15 11:11:32 - INFO - Executing LLAMBO (discriminative | top_pct: None) to tune MLP_SGD on iris with seed 1 / 1...
2026-01-15 11:11:32 - INFO - Task context: {'model': 'MLP_SGD', 'task': 'classification', 'tot_feats': 4, 'cat_feats': 0, 'num_feats': 4, 'n_classes': 3, 'metric': 'accuracy', 'lower_is_better': False, 'num_samples': 120, 'hyperparameter_constraints': {'hidden_layer_sizes': ['int', 'linear', [50, 200]], 'alpha': ['float', 'log', [1e-05, 10.0]], 'batch_size': ['int', 'linear', [10, 250]], 'learning_rate_init': ['float', 'log', [1e-05, 0.1]], 'power_t': ['float', 'logit', [0.1, 0.9]], 'momentum': ['float', 'logit', [0.001, 0.999]]}}
2026-01-15 11:28:36 - INFO - [LLAMBO] Query cost: 1.2770
2026-01-15 11:28:36 - INFO - [LLAMBO] Query time: 1006.0069
2026-01-15 11:28:36 - INFO -     hidden_layer_sizes     alpha  batch_size  learning_rate_init   power_t  momentum     score  generalization_score  max  min
0                  139  1.163040         216            0.024491  0.393578  0.014223  0.400000              0.200000    0    0
1                   95  0.000022          75            0.000814  0.595670  0.027525  0.308333              0.433333    0    0
2                  109  1.038658          91            0.003915  0.224591  0.743104  0.550000              0.533333    0    0
3                   71  1.661589         124            0.015982  0.313806  0.108729  0.283333              0.433333    0    1
4                  158  0.031054         139            0.010826  0.126201  0.026339  0.583333              0.466667    0    0
5                  200  0.000010          10            0.100000  0.100000  0.001000  0.941667              0.733333    0    0
6                  185  0.000010          10            0.100000  0.100000  0.001000  0.883333              1.000000    0    0
7                   50  0.000010          10            0.100000  0.100000  0.001000  0.941667              0.966667    0    0
8                  160  0.000010          10            0.100000  0.100000  0.001000  0.900000              0.933333    0    0
9                   50  0.000070          10            0.099990  0.100000  0.001000  0.941667              0.966667    0    0
10                  89  0.000020          15            0.099980  0.100000  0.001000  0.950000              0.900000    0    0
11                 174  0.000010          10            0.100000  0.100000  0.001000  0.950000              0.966667    0    0
12                  55  0.000010          10            0.099990  0.100000  0.001000  0.858333              0.966667    0    0
13                 197  0.000020          11            0.099990  0.100000  0.001000  0.925000              0.966667    0    0
14                 200  0.000020          10            0.099990  0.100000  0.001000  0.941667              0.733333    0    0
15                 158  0.000010          10            0.099990  0.100000  0.001000  0.866667              1.000000    0    0
16                 200  0.000010          10            0.099990  0.100000  0.001000  0.941667              0.733333    0    0
17                  59  0.000010          10            0.100000  0.100000  0.001000  0.908333              0.866667    0    0
18                 112  0.000030          25            0.099980  0.500000  0.011000  0.691667              0.966667    0    0
19                  50  0.000020          10            0.099990  0.100000  0.001000  0.941667              0.966667    0    0
20                 108  0.000050          10            0.099970  0.200000  0.003000  0.908333              1.000000    0    0
21                 196  0.000010          10            0.100000  0.100000  0.001000  0.916667              0.566667    0    0
22                  74  0.000060          10            0.099990  0.100000  0.001000  0.958333              1.000000    0    0
23                 161  0.000030          25            0.099980  0.700000  0.001000  0.675000              0.600000    0    0
24                 167  0.000020          11            0.099980  0.100000  0.001000  0.958333              0.900000    0    0
25                  57  0.000010          10            0.100000  0.100000  0.001000  0.891667              0.933333    0    0
26                 179  0.000040          10            0.099990  0.100000  0.001000  0.966667              1.000000    1    0
27                  81  0.000010          10            0.100000  0.100000  0.001000  0.950000              0.966667    0    0
28                 185  0.000020          11            0.099990  0.100000  0.001000  0.825000              1.000000    0    0
29                 198  0.000010          10            0.100000  0.100000  0.001000  0.941667              0.966667    0    0
2026-01-15 11:28:36 - INFO - [LLAMBO] RUN COMPLETE, saved results to /Users/davide/Desktop/Artificial Intelligence/llambo/exp_bayesmark/results_discriminative/iris/MLP_SGD...
2026-01-15 11:28:36 - INFO - ========================================================================================================================================================================================================
2026-01-15 11:28:36 - INFO - [LLAMBO] 1 evaluation runs complete! Total cost: $1.2770
