n_estimators,learning_rate,score,generalization_score,max,min
63,1.6646722614124752,0.9538461538461538,0.9912280701754386,0,0
87,1.722894536960943,0.9670329670329669,0.9736842105263158,0,0
66,0.008354270566129,0.9186813186813186,0.9649122807017544,0,0
37,0.000192116597574,0.8967032967032967,0.9035087719298246,0,1
35,0.024452630570839,0.9274725274725275,0.9736842105263158,0,0
93,0.1567,0.9670329670329669,0.9736842105263158,0,0
78,0.6376,0.9648351648351647,0.9736842105263158,0,0
76,0.6375,0.9648351648351647,0.9649122807017544,0,0
99,0.0284,0.9384615384615385,0.9473684210526315,0,0
79,0.9999,0.956043956043956,0.9736842105263158,0,0
97,0.6357,0.964835164835165,0.9649122807017544,0,0
97,0.0471,0.9604395604395604,0.9473684210526315,0,0
99,0.0023,0.9032967032967033,0.956140350877193,0,0
91,0.1437,0.9692307692307693,0.9736842105263158,0,0
99,0.1436,0.9692307692307693,0.9649122807017544,0,0
92,1.5994,0.9604395604395604,0.9824561403508771,0,0
100,0.0001,0.8967032967032967,0.9035087719298246,0,0
95,1.7452,0.956043956043956,0.9649122807017544,0,0
71,0.6819,0.9648351648351647,0.9649122807017544,0,0
48,0.5,0.9582417582417582,0.956140350877193,0,0
69,0.2275,0.9714285714285715,0.9736842105263158,1,0
70,0.2281,0.9692307692307693,0.9736842105263158,0,0
83,0.3199,0.9626373626373625,0.9649122807017544,0,0
99,0.1122,0.9692307692307693,0.9649122807017544,0,0
90,0.0888,0.9626373626373625,0.956140350877193,0,0
90,0.3137,0.9648351648351647,0.9649122807017544,0,0
100,0.0024,0.9032967032967033,0.956140350877193,0,0
83,0.3468,0.964835164835165,0.9824561403508771,0,0
89,0.1773,0.9692307692307691,0.9736842105263158,0,0
72,0.0778,0.9670329670329672,0.956140350877193,0,0
