n_estimators,learning_rate,score,generalization_score,max,min
63,1.6646722614124752,0.9538461538461538,0.9912280701754386,0,0
87,1.722894536960943,0.9670329670329669,0.9736842105263158,0,0
66,0.008354270566129,0.9186813186813186,0.9649122807017544,0,0
37,0.000192116597574,0.8967032967032967,0.9035087719298246,0,1
35,0.024452630570839,0.9274725274725275,0.9736842105263158,0,0
99,0.0193,0.9362637362637363,0.956140350877193,0,0
94,0.9075,0.9670329670329672,0.9736842105263158,0,0
100,0.0001,0.8967032967032967,0.9035087719298246,0,0
65,0.9894,0.9692307692307693,0.9649122807017544,0,0
85,0.9998,0.9604395604395604,0.9649122807017544,0,0
90,0.9999,0.9582417582417582,0.956140350877193,0,0
88,0.9857,0.9648351648351647,0.9736842105263158,0,0
67,0.9968,0.9626373626373628,0.9736842105263158,0,0
95,0.9,0.9736263736263737,0.9736842105263158,1,0
67,0.9915,0.9692307692307693,0.9649122807017544,0,0
53,1.4686,0.9736263736263737,0.9736842105263158,0,0
94,0.995,0.9626373626373625,0.956140350877193,0,0
73,0.9943,0.964835164835165,0.9649122807017544,0,0
81,0.9861,0.9714285714285715,0.9736842105263158,0,0
85,0.9862,0.9714285714285715,0.9824561403508771,0,0
44,0.9997,0.9582417582417582,0.9473684210526315,0,0
99,0.9036,0.9626373626373625,0.956140350877193,0,0
52,1.0,0.9626373626373628,0.9473684210526315,0,0
100,0.0011,0.9010989010989011,0.956140350877193,0,0
90,0.9858,0.9692307692307693,0.9649122807017544,0,0
83,0.9732,0.964835164835165,0.9824561403508771,0,0
73,0.9925,0.9692307692307693,0.9736842105263158,0,0
91,0.9913,0.9736263736263737,0.9736842105263158,0,0
100,0.101,0.9692307692307693,0.9649122807017544,0,0
85,0.1046,0.9692307692307693,0.9736842105263158,0,0
