max_depth,max_features,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,score,generalization_score,max,min
9,0.267458909988376,0.30138168803582105,0.083360328995513,0.070058434405707,0.123505898079574,0.9076923076923077,0.9035087719298246,0,0
7,0.6020791473690711,0.48183138025051403,0.044472480364563007,0.38018445062536704,0.078331441745601,0.6373626373626373,0.5877192982456141,0,1
9,0.7033204209752381,0.035518029098943006,0.014036718835817,0.010973585341781,0.25544111374655504,0.8835164835164836,0.9035087719298246,0,0
12,0.544787159447375,0.48930917111638206,0.22425114674628402,0.08335745696734101,0.20856784511275603,0.6373626373626373,0.5877192982456141,0,0
3,0.18925567537030202,0.07167664370452301,0.39507149928225904,0.110006634215878,0.050218066274631004,0.9032967032967033,0.8947368421052632,0,0
14,0.97,0.0,0.01,0.99,0.49,0.8285714285714285,0.8596491228070176,0,0
15,0.99,0.0,0.01,0.99,0.01,0.8923076923076924,0.9035087719298246,0,0
15,0.99,0.0,0.01,0.99,0.49,0.8285714285714285,0.8596491228070176,0,0
11,0.79,0.0,0.08,0.07,0.12,0.8835164835164836,0.9035087719298246,0,0
9,0.5,0.0,0.01,0.01,0.3,0.8945054945054945,0.9035087719298246,0,0
7,0.91,0.0,0.01,0.11,0.05,0.8989010989010989,0.9210526315789473,0,0
6,0.83,0.0,0.01,0.05,0.1,0.8967032967032967,0.9035087719298246,0,0
15,0.99,0.0,0.01,0.01,0.49,0.8285714285714285,0.8596491228070176,0,0
7,0.91,0.0,0.01,0.05,0.1,0.8923076923076924,0.9035087719298246,0,0
15,0.99,0.0,0.01,0.01,0.01,0.9230769230769231,0.9473684210526315,0,0
15,0.99,0.0,0.01,0.01,0.02,0.9274725274725275,0.9649122807017544,0,0
15,0.99,0.0,0.01,0.06,0.01,0.9142857142857143,0.9649122807017544,0,0
13,0.84,0.0,0.04,0.07,0.12,0.8923076923076924,0.9035087719298246,0,0
15,0.99,0.0,0.02,0.01,0.01,0.9274725274725275,0.9649122807017544,0,0
13,0.96,0.0,0.01,0.01,0.01,0.9120879120879122,0.9473684210526315,0,0
7,0.93,0.0,0.01,0.01,0.01,0.9142857142857144,0.9385964912280702,0,0
14,0.97,0.0,0.01,0.01,0.01,0.9230769230769231,0.9473684210526315,0,0
15,0.99,0.0,0.03,0.01,0.01,0.9230769230769231,0.9649122807017544,0,0
12,0.98,0.0,0.02,0.02,0.02,0.9274725274725275,0.9649122807017544,0,0
8,0.98,0.0,0.01,0.01,0.01,0.9230769230769231,0.9473684210526315,0,0
11,0.78,0.0,0.01,0.01,0.01,0.9318681318681319,0.956140350877193,1,0
15,0.98,0.0,0.01,0.01,0.01,0.9230769230769231,0.9473684210526315,0,0
15,0.99,0.0,0.02,0.01,0.02,0.9274725274725275,0.9649122807017544,0,0
11,0.77,0.0,0.01,0.01,0.01,0.9318681318681319,0.956140350877193,0,0
9,0.97,0.0,0.02,0.01,0.02,0.9274725274725275,0.9649122807017544,0,0
