hidden_layer_sizes,alpha,batch_size,learning_rate_init,power_t,momentum,score,generalization_score,max,min
139,1.163039571448033,216,0.024491024634012003,0.39357815616936004,0.014222570771709001,0.876923076923077,0.8859649122807017,0,0
95,2.1891618132748293e-05,75,0.0008140675984580001,0.5956702712389661,0.027524723274259002,0.9010989010989011,0.41228070175438597,0,0
109,1.03865802565003,91,0.003914600869268,0.224590680510133,0.74310397027772,0.4659340659340659,0.8333333333333334,0,0
71,1.661588777011895,124,0.015982437247411,0.31380635630588305,0.108728553222819,0.6373626373626373,0.5877192982456141,0,0
158,0.031054086075930003,139,0.01082586226325,0.126200635206691,0.026338768980858,0.8505494505494505,0.9035087719298246,0,0
109,2e-05,75,0.00081,0.6,0.028,0.8967032967032967,0.9122807017543859,0,0
200,1e-05,10,1e-05,0.1,0.999,0.9164835164835166,0.868421052631579,1,0
143,0.00039,40,0.04561,0.5,0.448,0.47252747252747246,0.5877192982456141,0,0
50,1e-05,10,0.1,0.1,0.999,0.6373626373626373,0.5877192982456141,0,0
200,1e-05,146,1e-05,0.1,0.999,0.8791208791208792,0.8508771929824561,0,0
175,1e-05,101,1e-05,0.1,0.999,0.9120879120879121,0.8596491228070176,0,0
200,1e-05,106,1e-05,0.5,0.999,0.3626373626373626,0.41228070175438597,0,0
139,0.001,99,0.00032,0.3,0.333,0.887912087912088,0.868421052631579,0,0
104,1e-05,10,1e-05,0.1,0.999,0.8923076923076924,0.868421052631579,0,0
200,1e-05,50,1e-05,0.1,0.999,0.8923076923076924,0.8771929824561403,0,0
102,1e-05,250,1e-05,0.1,0.999,0.6901098901098901,0.8508771929824561,0,0
168,0.00011,124,1e-05,0.9,0.001,0.6373626373626373,0.6052631578947368,0,0
50,1e-05,250,0.1,0.9,0.999,0.6351648351648351,0.5877192982456141,0,0
88,1e-05,84,1e-05,0.3,0.997,0.8417582417582418,0.868421052631579,0,0
200,1e-05,140,1e-05,0.5,0.9,0.3626373626373626,0.41228070175438597,0,0
50,1e-05,50,1e-05,0.1,0.999,0.8989010989010989,0.868421052631579,0,0
160,2e-05,215,2e-05,0.3,0.998,0.6373626373626373,0.5877192982456141,0,0
176,3e-05,118,0.08002,0.4,0.798,0.6373626373626373,0.5877192982456141,0,0
93,1e-05,81,1e-05,0.9,0.999,0.6307692307692307,0.5877192982456141,0,0
200,1e-05,150,1e-05,0.5,0.998,0.3582417582417582,0.41228070175438597,0,1
157,2e-05,149,1e-05,0.1,0.999,0.9120879120879121,0.868421052631579,0,0
50,1e-05,10,1e-05,0.1,0.999,0.8901098901098902,0.9122807017543859,0,0
96,1e-05,19,1e-05,0.1,0.999,0.8923076923076924,0.8771929824561403,0,0
121,2e-05,146,0.02737,0.6,0.161,0.5692307692307692,0.41228070175438597,0,0
160,1e-05,96,1e-05,0.5,0.998,0.7494505494505495,0.868421052631579,0,0
