hidden_layer_sizes,alpha,batch_size,learning_rate_init,power_t,momentum,score,generalization_score,max,min
139,1.163039571448033,216,0.024491024634012003,0.39357815616936004,0.014222570771709001,0.876923076923077,0.8859649122807017,0,0
95,2.1891618132748293e-05,75,0.0008140675984580001,0.5956702712389661,0.027524723274259002,0.9010989010989011,0.41228070175438597,0,0
109,1.03865802565003,91,0.003914600869268,0.224590680510133,0.74310397027772,0.4659340659340659,0.8333333333333334,0,0
71,1.661588777011895,124,0.015982437247411,0.31380635630588305,0.108728553222819,0.6373626373626373,0.5877192982456141,0,0
158,0.031054086075930003,139,0.01082586226325,0.126200635206691,0.026338768980858,0.8505494505494505,0.9035087719298246,0,0
163,1e-05,97,1e-05,0.1,0.998,0.8967032967032967,0.9035087719298246,0,0
186,1e-05,93,1e-05,0.9,0.001,0.13406593406593406,0.3333333333333333,0,1
200,1e-05,250,1e-05,0.9,0.999,0.5934065934065934,0.5263157894736842,0,0
74,1e-05,154,1e-05,0.1,0.999,0.9142857142857143,0.8859649122807017,0,0
143,1e-05,248,1e-05,0.1,0.999,0.7450549450549451,0.5877192982456141,0,0
152,1e-05,48,1e-05,0.9,0.001,0.7516483516483518,0.7719298245614035,0,0
50,1e-05,10,0.1,0.9,0.999,0.6373626373626373,0.5877192982456141,0,0
56,1e-05,69,0.04763,0.4,0.056,0.36043956043956044,0.41228070175438597,0,0
200,1e-05,10,1e-05,0.1,0.999,0.9164835164835166,0.868421052631579,1,0
99,1e-05,229,1e-05,0.1,0.999,0.6373626373626373,0.5877192982456141,0,0
139,1e-05,136,1e-05,0.6,0.027,0.3626373626373626,0.41228070175438597,0,0
200,1e-05,10,0.1,0.1,0.999,0.6417582417582417,0.5877192982456141,0,0
50,1e-05,250,0.1,0.9,0.999,0.6351648351648351,0.5877192982456141,0,0
200,1e-05,10,1e-05,0.1,0.001,0.8571428571428571,0.8421052631578947,0,0
200,2e-05,10,1e-05,0.1,0.999,0.9164835164835166,0.9122807017543859,0,0
85,3e-05,102,1e-05,0.1,0.999,0.8901098901098902,0.868421052631579,0,0
119,2e-05,109,0.00014,0.7,0.038,0.7186813186813187,0.5877192982456141,0,0
200,1e-05,10,1e-05,0.9,0.999,0.8901098901098902,0.868421052631579,0,0
173,1e-05,184,1e-05,0.1,0.999,0.8769230769230768,0.868421052631579,0,0
50,1e-05,10,1e-05,0.1,0.999,0.8901098901098902,0.9122807017543859,0,0
200,1e-05,10,5e-05,0.5,0.5,0.7824175824175824,0.7631578947368421,0,0
130,1e-05,97,1e-05,0.1,0.999,0.876923076923077,0.7894736842105263,0,0
200,1e-05,59,1e-05,0.1,0.999,0.8857142857142858,0.868421052631579,0,0
200,1e-05,180,1e-05,0.1,0.999,0.7692307692307693,0.8596491228070176,0,0
160,1e-05,10,1e-05,0.1,0.999,0.8989010989010989,0.8421052631578947,0,0
