hidden_layer_sizes,alpha,batch_size,learning_rate_init,power_t,momentum,score,generalization_score,max,min
139,1.163039571448033,216,0.024491024634012003,0.39357815616936004,0.014222570771709001,0.876923076923077,0.8859649122807017,0,0
95,2.1891618132748293e-05,75,0.0008140675984580001,0.5956702712389661,0.027524723274259002,0.9010989010989011,0.41228070175438597,0,0
109,1.03865802565003,91,0.003914600869268,0.224590680510133,0.74310397027772,0.4659340659340659,0.8333333333333334,0,0
71,1.661588777011895,124,0.015982437247411,0.31380635630588305,0.108728553222819,0.6373626373626373,0.5877192982456141,0,0
158,0.031054086075930003,139,0.01082586226325,0.126200635206691,0.026338768980858,0.8505494505494505,0.9035087719298246,0,0
101,1e-05,49,1e-05,0.9,0.999,0.9098901098901099,0.7192982456140351,1,0
200,1e-05,10,0.1,0.1,0.999,0.6417582417582417,0.5877192982456141,0,0
71,1e-05,49,1e-05,0.9,0.999,0.3626373626373626,0.5877192982456141,0,1
165,1e-05,28,1e-05,0.9,0.999,0.9054945054945055,0.9210526315789473,0,0
128,1e-05,32,1e-05,0.9,0.999,0.5230769230769232,0.8333333333333334,0,0
116,1e-05,19,1e-05,0.9,0.999,0.8615384615384615,0.7631578947368421,0,0
162,1e-05,48,1e-05,0.9,0.999,0.5956043956043956,0.41228070175438597,0,0
171,1e-05,200,1e-05,0.9,0.999,0.7032967032967032,0.5877192982456141,0,0
122,1e-05,139,1e-05,0.5,0.001,0.3626373626373626,0.41228070175438597,0,0
147,1e-05,10,1e-05,0.9,0.999,0.8945054945054945,0.8771929824561403,0,0
153,1e-05,10,1e-05,0.9,0.999,0.9054945054945055,0.7982456140350878,0,0
107,0.00617,10,0.01471,0.5,0.975,0.6395604395604395,0.5877192982456141,0,0
113,0.00057,76,0.03491,0.5,0.059,0.723076923076923,0.7456140350877193,0,0
53,1e-05,10,1e-05,0.1,0.999,0.9010989010989011,0.8859649122807017,0,0
79,1e-05,10,1e-05,0.5,0.999,0.9032967032967033,0.8947368421052632,0,0
112,1e-05,10,1e-05,0.9,0.999,0.8989010989010989,0.9473684210526315,0,0
65,1e-05,10,1e-05,0.9,0.999,0.9032967032967033,0.8859649122807017,0,0
126,1e-05,10,1e-05,0.9,0.999,0.8967032967032967,0.868421052631579,0,0
200,1e-05,10,1e-05,0.9,0.999,0.8901098901098902,0.868421052631579,0,0
59,1e-05,10,1e-05,0.9,0.999,0.5076923076923077,0.8771929824561403,0,0
141,2e-05,11,3e-05,0.9,0.998,0.9098901098901099,0.868421052631579,0,0
174,1e-05,10,1e-05,0.9,0.999,0.887912087912088,0.8245614035087719,0,0
56,1e-05,10,1e-05,0.1,0.999,0.9010989010989011,0.8421052631578947,0,0
110,1e-05,10,1e-05,0.5,0.999,0.9032967032967033,0.8859649122807017,0,0
186,1e-05,10,1e-05,0.9,0.999,0.9032967032967033,0.8596491228070176,0,0
