model,algorithm,best_score
AdaBoost,LLAMBO,0.9692307692307693
AdaBoost,UCB1,0.9714285714285715
AdaBoost,UCB1 Variance,0.9736263736263737
AdaBoost,UCB1 KL,0.9714285714285715
DecisionTree,LLAMBO,0.9318681318681319
DecisionTree,UCB1,0.9318681318681319
DecisionTree,UCB1 Variance,0.9274725274725275
DecisionTree,UCB1 KL,0.9274725274725275
MLP_SGD,LLAMBO,0.9120879120879122
MLP_SGD,UCB1,0.9164835164835166
MLP_SGD,UCB1 Variance,0.9098901098901099
MLP_SGD,UCB1 KL,0.9164835164835166
RandomForest,LLAMBO,0.9692307692307693
RandomForest,UCB1,0.9516483516483516
RandomForest,UCB1 Variance,0.9516483516483516
RandomForest,UCB1 KL,0.9648351648351647
SVM,LLAMBO,0.9428571428571428
SVM,UCB1,0.945054945054945
SVM,UCB1 Variance,0.9362637362637363
SVM,UCB1 KL,0.9384615384615385
