n_estimators,learning_rate,score,generalization_score,max,min
63,1.6646722614124752,0.5272978868851222,0.6302471493156019,0,0
87,1.722894536960943,0.5275024504930336,0.6191922146355728,1,0
66,0.008354270566129,0.5164404299396305,0.6102517816748183,0,0
37,0.000192116597574,0.5233832812305448,0.6377005883405692,0,0
35,0.024452630570839,0.5133071210212757,0.6217984446236896,0,0
41,0.0003,0.5223196385417532,0.6492798315919491,0,0
86,0.0091,0.5184840325018159,0.6056797906181466,0,0
61,0.0101,0.5188938285254869,0.6102099593377907,0,0
91,0.0001,0.5201334044208524,0.6331053319074043,0,0
22,0.0397,0.5192460655652875,0.6169158279130802,0,0
64,0.0056,0.5159865799325091,0.6215247961540886,0,0
74,0.0004,0.5211850421821818,0.6348190517591294,0,0
31,0.0536,0.5202825976210639,0.6023761342172322,0,0
59,0.0067,0.510278907509407,0.603734869655686,0,1
59,0.0066,0.516243622271825,0.6054791076409005,0,0
89,0.0009,0.5179130884703522,0.6390482409372662,0,0
100,0.0002,0.522059107795989,0.6340785037283696,0,0
32,0.0062,0.5154617693323331,0.6244073295210906,0,0
54,0.0024,0.5254483025328487,0.6222453938438902,0,0
58,0.0035,0.5132295324156239,0.6289960052890604,0,0
47,0.0005,0.5243116181709586,0.6409718780998365,0,0
66,0.0027,0.5211857672941601,0.6156013745765061,0,0
53,0.01,0.5227876043903334,0.6020081271014771,0,0
76,0.0007,0.5164118666271447,0.6358293504157306,0,0
76,0.0006,0.5183701856485149,0.633354994774552,0,0
63,0.001,0.5254586830432459,0.6412723458677537,0,0
77,0.0061,0.5164995624378511,0.6174160154344349,0,0
44,0.0032,0.5176423888686424,0.6281680593501705,0,0
48,0.0063,0.5212603411789771,0.607492952433427,0,0
57,0.0013,0.5251395684425854,0.6441987013484013,0,0
