n_estimators,learning_rate,score,generalization_score,max,min
63,1.6646722614124752,0.5272978868851222,0.6302471493156019,0,0
87,1.722894536960943,0.5275024504930336,0.6191922146355728,1,0
66,0.008354270566129,0.5164404299396305,0.6102517816748183,0,0
37,0.000192116597574,0.5233832812305448,0.6377005883405692,0,0
35,0.024452630570839,0.5133071210212757,0.6217984446236896,0,0
82,0.01,0.5196856058554866,0.5919868353189663,0,0
65,0.0027,0.5201171816531552,0.6189864138830464,0,0
60,0.0001,0.5228062026153137,0.6354264278972123,0,0
49,0.0011,0.5226196667616307,0.6382108526628596,0,0
78,0.0052,0.5172163685024669,0.6230571155658786,0,0
90,0.0033,0.519721031406289,0.6239743151445297,0,0
35,0.0245,0.5232448780815748,0.6110699212861146,0,0
76,0.0008,0.518950454731162,0.6415214828020396,0,0
85,0.0009,0.517407303698729,0.6388333795375346,0,0
80,0.003,0.520619910048125,0.6135700255532834,0,0
91,0.0009,0.5179335517064095,0.6414649021630201,0,0
89,0.0007,0.5160033383358498,0.6375516230871245,0,0
66,0.0048,0.5134701305795752,0.6275503238240899,0,0
93,0.0055,0.5203773705592429,0.616092660360499,0,0
71,0.0095,0.5204347125526152,0.5944840695358381,0,0
93,0.001,0.5199493652826801,0.6410859493045457,0,0
99,0.0007,0.5170715139311731,0.6350901941786994,0,0
45,0.0352,0.5127145702343101,0.6051996894670028,0,1
79,0.0026,0.5255783625267696,0.6221424647419512,0,0
52,0.0059,0.5193597280783014,0.6154315738961533,0,0
61,0.0006,0.5255836579295916,0.6349954289673427,0,0
67,0.0047,0.514104488219376,0.6232108840713209,0,0
92,0.0006,0.5168499259625031,0.6353502527317364,0,0
64,0.0043,0.5142833615040022,0.629009163538545,0,0
96,0.0002,0.5201499474387509,0.630234788151263,0,0
