max_depth,max_features,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,score,generalization_score,max,min
9,0.267458909988376,0.30138168803582105,0.083360328995513,0.070058434405707,0.123505898079574,1.0031787479507257,0.8375528864066757,1,0
7,0.6020791473690711,0.48183138025051403,0.044472480364563007,0.38018445062536704,0.078331441745601,1.0031787479507257,0.8375528864066757,0,0
9,0.7033204209752381,0.035518029098943006,0.014036718835817,0.010973585341781,0.25544111374655504,0.7806096126444759,0.8259999677609675,0,0
12,0.544787159447375,0.48930917111638206,0.22425114674628402,0.08335745696734101,0.20856784511275603,1.0031787479507257,0.8375528864066757,0,0
3,0.18925567537030202,0.07167664370452301,0.39507149928225904,0.110006634215878,0.050218066274631004,0.8778188471553643,0.7627234222753011,0,0
15,0.99,0.0,0.01,0.01,0.49,0.7071571773822505,0.6657032131689524,0,0
9,0.7,0.0,0.01,0.01,0.26,0.7804789572347378,0.8259999677609675,0,0
13,0.89,0.0,0.1,0.05,0.1,0.5941284045034496,0.62961547384875,0,1
15,0.54,0.0,0.01,0.01,0.01,0.9035514900859551,1.057786284895898,0,0
8,0.73,0.0,0.15,0.26,0.21,0.7677446681027538,0.8259999677609675,0,0
15,0.98,0.0,0.02,0.01,0.11,0.5951604358999564,0.756031326473219,0,0
10,0.53,0.0,0.01,0.01,0.01,0.8612135557770305,1.057786284895898,0,0
7,0.44,0.0,0.03,0.03,0.08,0.641899166624429,0.6736896003999521,0,0
6,0.33,0.0,0.17,0.12,0.34,0.8374191878741813,0.7641503009399319,0,0
14,0.24,0.0,0.02,0.01,0.05,0.7490014161351317,0.8110492871852218,0,0
8,0.65,0.0,0.03,0.14,0.38,0.8374356125025564,0.764150300939932,0,0
4,0.5,0.0,0.1,0.24,0.39,0.836990351637341,0.764150300939932,0,0
15,0.68,0.0,0.01,0.02,0.06,0.6525390684936403,0.7447300156154444,0,0
15,0.68,0.0,0.01,0.01,0.06,0.6525390684936403,0.7447300156154444,0,0
15,0.99,0.0,0.01,0.01,0.01,0.8462600457866118,0.9331771792886927,0,0
7,0.73,0.0,0.05,0.22,0.28,0.7624852912183874,0.8259999677609675,0,0
15,0.44,0.0,0.04,0.01,0.07,0.6539334628407603,0.7912277682336646,0,0
7,0.44,0.0,0.01,0.01,0.01,0.8068265175688978,0.9014471275917424,0,0
15,0.99,0.0,0.01,0.06,0.2,0.6767208641448926,0.726600699043071,0,0
15,0.98,0.0,0.03,0.01,0.19,0.6502711718401197,0.7028809191485149,0,0
15,0.01,0.0,0.01,0.01,0.01,0.8558163094844881,0.81341151982136,0,0
6,0.33,0.0,0.01,0.1,0.47,0.8796589900504108,0.8345783716480071,0,0
8,0.44,0.0,0.03,0.06,0.03,0.6466841704744029,0.7375893135153583,0,0
5,0.37,0.0,0.01,0.01,0.06,0.7645877326006536,0.7529891555967513,0,0
15,0.52,0.0,0.01,0.01,0.01,0.9035514900859551,1.057786284895898,0,0
