max_depth,max_features,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,score,generalization_score,max,min
9,0.267458909988376,0.30138168803582105,0.083360328995513,0.070058434405707,0.123505898079574,1.0031787479507257,0.8375528864066757,1,0
7,0.6020791473690711,0.48183138025051403,0.044472480364563007,0.38018445062536704,0.078331441745601,1.0031787479507257,0.8375528864066757,0,0
9,0.7033204209752381,0.035518029098943006,0.014036718835817,0.010973585341781,0.25544111374655504,0.7806096126444759,0.8259999677609675,0,0
12,0.544787159447375,0.48930917111638206,0.22425114674628402,0.08335745696734101,0.20856784511275603,1.0031787479507257,0.8375528864066757,0,0
3,0.18925567537030202,0.07167664370452301,0.39507149928225904,0.110006634215878,0.050218066274631004,0.8778188471553643,0.7627234222753011,0,0
15,0.22,0.0,0.01,0.99,0.49,0.9781428806355305,0.8076395478075413,0,0
8,0.72,0.0,0.02,0.02,0.26,0.7804789572347378,0.8259999677609675,0,0
9,0.72,0.0,0.01,0.01,0.26,0.7804789572347378,0.8259999677609675,0,0
9,0.7,0.0,0.01,0.01,0.26,0.7804789572347378,0.8259999677609675,0,0
12,0.72,0.0,0.01,0.01,0.26,0.7804789572347378,0.8259999677609675,0,0
15,0.3,0.0,0.02,0.02,0.36,0.8374191878741813,0.7641503009399319,0,0
6,0.5,0.0,0.08,0.17,0.1,0.635152278381733,0.8040651967232895,0,0
8,0.34,0.0,0.07,0.04,0.01,0.7036897057387669,0.7140032729883267,0,0
11,0.68,0.0,0.03,0.1,0.24,0.7787731300637819,0.7470510040744716,0,0
4,0.53,0.0,0.2,0.09,0.22,0.7609940757809213,0.8259999677609675,0,0
8,0.77,0.0,0.16,0.33,0.16,0.7150861594140714,0.6645376262362748,0,0
9,0.68,0.0,0.1,0.11,0.15,0.6806274901485398,0.812546293364167,0,0
9,0.66,0.0,0.09,0.24,0.28,0.7744085247722817,0.7716634907553758,0,0
8,0.77,0.0,0.03,0.57,0.31,0.8092988823087746,0.7641503009399319,0,0
15,0.99,0.0,0.01,0.01,0.49,0.7071571773822505,0.6657032131689524,0,0
7,0.52,0.0,0.23,0.19,0.28,0.7624852912183874,0.8259999677609675,0,0
5,0.66,0.0,0.01,0.01,0.01,0.7072607191408465,0.8292291865437785,0,0
14,0.01,0.0,0.49,0.01,0.49,1.0031787479507257,0.8375528864066757,0,0
10,0.69,0.0,0.01,0.01,0.01,0.8469166167180724,1.0473396786350346,0,0
10,0.01,0.0,0.01,0.01,0.01,0.7349331387938813,0.8296322147715104,0,0
5,0.66,0.0,0.02,0.02,0.01,0.6279921251217608,0.822139585870426,0,1
11,0.68,0.0,0.06,0.13,0.1,0.663337773257286,0.724186478627815,0,0
7,0.15,0.0,0.01,0.01,0.22,0.8169646381922966,0.7582232079703561,0,0
6,0.5,0.0,0.07,0.04,0.01,0.6593826580310628,0.640854392540961,0,0
8,0.62,0.0,0.08,0.42,0.01,0.7192745992382041,0.7470510040744716,0,0
