hidden_layer_sizes,alpha,batch_size,learning_rate_init,power_t,momentum,score,generalization_score,max,min
139,1.163039571448033,216,0.024491024634012003,0.39357815616936004,0.014222570771709001,0.9763268917518578,0.8489117053927336,0,0
95,2.1891618132748293e-05,75,0.0008140675984580001,0.5956702712389661,0.027524723274259002,1.0324066068659166,0.8755181839270045,0,0
109,1.03865802565003,91,0.003914600869268,0.224590680510133,0.74310397027772,0.9943162061444217,0.8192556410609062,0,0
71,1.661588777011895,124,0.015982437247411,0.31380635630588305,0.108728553222819,0.986714792434525,0.8428386122103648,0,0
158,0.031054086075930003,139,0.01082586226325,0.126200635206691,0.026338768980858,1.008314503776763,0.8330128948447622,0,0
128,0.00802,105,0.06768,0.5,0.465,0.9730982002403034,0.8343197025534991,0,0
124,0.00613,68,0.07684,0.3,0.307,0.9632289464608845,0.7911287386641571,0,0
179,0.00622,127,0.07726,0.3,0.308,0.9750788590528707,0.8091332562982574,0,0
146,0.00026,34,0.01006,0.1,0.723,0.8666752547794114,0.7222231640567983,0,0
65,1e-05,10,1e-05,0.9,0.999,0.9950093018867581,0.8302739978826951,0,0
92,0.00037,180,0.00021,0.7,0.111,1.0595280249462067,0.9135674483553602,0,0
128,2e-05,117,0.0001,0.9,0.998,0.989792285298773,0.8280656109545056,0,0
200,1e-05,250,1e-05,0.9,0.999,1.028131384579177,0.8580692789528169,0,0
200,1e-05,10,0.1,0.1,0.001,0.5343464084902921,0.5454857347852912,0,1
155,5e-05,149,0.05,0.5,0.501,0.9420006874734972,0.7971418064381729,0,0
110,0.00089,52,0.00127,0.5,0.399,1.002008791630671,0.8319739397045899,0,0
200,1e-05,10,1e-05,0.1,0.001,1.0280994526779579,0.8580697751900057,0,0
115,0.02002,34,0.00015,0.5,0.459,1.041292573052623,0.871366139182292,0,0
200,1e-05,250,1e-05,0.1,0.001,1.0281239419257386,0.8580804378831646,0,0
140,1e-05,248,1e-05,0.1,0.999,1.0353005004900795,0.8590569598644295,0,0
200,2e-05,10,1e-05,0.9,0.999,1.026537222567899,0.857944901433486,0,0
185,2e-05,76,0.00234,0.7,0.723,0.9731338942357984,0.8204071485268885,0,0
144,1e-05,10,1e-05,0.1,0.999,1.017446772537061,0.8575161792306024,0,0
200,2e-05,117,0.0001,0.9,0.998,1.0279544354593935,0.8580537241967439,0,0
51,1e-05,10,1e-05,0.1,0.001,1.382885875303356,1.1851687924851584,1,0
157,1e-05,69,0.0042,0.4,0.479,1.127703679121106,0.9159067017287444,0,0
50,1e-05,10,1e-05,0.1,0.001,1.050797526368993,0.8934098803696071,0,0
154,1e-05,10,1e-05,0.1,0.001,0.9888234235340996,0.8233549641205925,0,0
71,1.66159,124,0.01598,0.3,0.109,0.986757824961811,0.8404679876811142,0,0
110,0.00088,74,1e-05,0.1,0.001,1.0051425965403946,0.8369723356037894,0,0
