hidden_layer_sizes,alpha,batch_size,learning_rate_init,power_t,momentum,score,generalization_score,max,min
139,1.163039571448033,216,0.024491024634012003,0.39357815616936004,0.014222570771709001,0.9763268917518578,0.8489117053927336,0,0
95,2.1891618132748293e-05,75,0.0008140675984580001,0.5956702712389661,0.027524723274259002,1.0324066068659166,0.8755181839270045,0,0
109,1.03865802565003,91,0.003914600869268,0.224590680510133,0.74310397027772,0.9943162061444217,0.8192556410609062,0,0
71,1.661588777011895,124,0.015982437247411,0.31380635630588305,0.108728553222819,0.986714792434525,0.8428386122103648,0,0
158,0.031054086075930003,139,0.01082586226325,0.126200635206691,0.026338768980858,1.008314503776763,0.8330128948447622,0,0
163,1e-05,234,1e-05,0.1,0.001,1.0057249848141845,0.8505972661471475,0,0
127,0.00031,55,0.03906,0.9,0.864,1.0005868368312725,0.813663485610626,0,0
126,0.00011,67,0.00107,0.1,0.998,0.8956337324926628,0.7003335726109913,0,0
129,0.00071,99,1e-05,0.1,0.998,1.0140263115112795,0.8471204235039234,0,0
200,1e-05,10,1e-05,0.1,0.999,0.9868569953968486,0.8579449017166131,0,0
200,0.00021,132,0.00041,0.3,0.741,1.0279692022359443,0.8579666240052368,0,0
123,0.00067,157,0.00043,0.6,0.028,0.972143627099096,0.8148583703317821,0,0
77,3e-05,211,0.00068,0.6,0.999,1.0277381601599642,0.8603720583405576,0,0
176,1e-05,131,1e-05,0.7,0.001,1.030633279632977,0.8747023342951016,0,0
107,0.00011,137,0.00011,0.8,0.755,1.1287030897742723,0.968865413702516,0,0
200,2e-05,114,1e-05,0.9,0.001,1.0281244463094337,0.8580798528878164,0,0
182,0.00011,136,1e-05,0.9,0.999,1.0132669351534926,0.842688067734805,0,0
50,1e-05,250,0.1,0.9,0.999,1.1904660945915582,0.8431596516522717,1,0
200,5e-05,100,0.0002,0.5,0.25,1.0281061712072863,0.8580530477921126,0,0
87,5e-05,88,0.03,0.7,0.998,1.039759158485123,0.6162155057232842,0,0
164,0.00046,43,0.00271,0.2,0.998,0.6650895329056056,0.5512440073719094,0,1
200,0.00013,156,0.00246,0.6,0.709,1.0278172719560366,0.856863526796102,0,0
155,0.00032,50,0.00089,0.4,0.001,0.9810644401722526,0.8267396228929453,0,0
200,0.00014,34,0.00063,0.2,0.998,0.8640655385352793,0.6942541589956684,0,0
94,3e-05,21,6e-05,0.3,0.008,1.0209007469611762,0.8791463999256464,0,0
76,2e-05,137,1e-05,0.5,0.755,1.0810556751438534,0.9028296548303387,0,0
113,0.00038,21,0.00074,0.3,0.841,1.0171858511741516,0.8480355042942457,0,0
129,0.0003,116,0.00059,0.6,0.992,1.0115623992166063,0.8468747231443516,0,0
198,2e-05,125,0.00019,0.5,0.743,1.0227733815596995,0.8685601090986713,0,0
116,6e-05,203,0.00044,0.9,0.999,0.9890572494879211,0.8293592043663511,0,0
