max_depth,max_features,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,score,generalization_score,max,min
9,0.267458909988376,0.30138168803582105,0.083360328995513,0.070058434405707,0.123505898079574,0.9305968797093168,0.7759642321565792,0,0
7,0.6020791473690711,0.48183138025051403,0.044472480364563007,0.38018445062536704,0.078331441745601,1.0043711746891228,0.8375444328238856,1,0
9,0.7033204209752381,0.035518029098943006,0.014036718835817,0.010973585341781,0.25544111374655504,0.5647233482240218,0.6218475402836945,0,0
12,0.544787159447375,0.48930917111638206,0.22425114674628402,0.08335745696734101,0.20856784511275603,1.0043711746891228,0.8375444328238856,0,0
3,0.18925567537030202,0.07167664370452301,0.39507149928225904,0.110006634215878,0.050218066274631004,1.0043711746891228,0.8375444328238856,0,0
9,0.45,0.0,0.08,0.13,0.18,0.6024123215466368,0.6138421556812325,0,0
9,0.44,0.0,0.01,0.01,0.26,0.6244530115300317,0.6239414621344129,0,0
9,0.64,0.0,0.01,0.01,0.26,0.5676395575434514,0.6016808288833841,0,0
15,0.99,0.0,0.01,0.01,0.26,0.5580972354876981,0.5871406195429942,0,0
15,0.5,0.0,0.01,0.01,0.26,0.5876448947871656,0.586577870995976,0,0
15,0.52,0.0,0.02,0.01,0.26,0.5876448947871656,0.586577870995976,0,0
15,0.51,0.0,0.02,0.02,0.25,0.5914670828475607,0.5835667064611694,0,0
9,0.39,0.0,0.01,0.01,0.26,0.6495968824376548,0.6326694247911968,0,0
15,0.54,0.0,0.03,0.09,0.22,0.5817853292386108,0.5756734597717831,0,0
15,0.5,0.0,0.01,0.02,0.25,0.5914670828475607,0.5835667064611694,0,0
15,0.98,0.0,0.01,0.01,0.26,0.5580972354876981,0.5871406195429942,0,0
15,0.5,0.0,0.02,0.02,0.25,0.5914670828475607,0.5835667064611694,0,0
15,0.54,0.0,0.04,0.11,0.08,0.5143299090276517,0.5681717531091158,0,1
9,0.38,0.0,0.03,0.12,0.24,0.642512176514958,0.6367084511853379,0,0
15,0.49,0.0,0.01,0.01,0.26,0.6244530115300317,0.6239414621344129,0,0
15,0.51,0.0,0.01,0.02,0.25,0.5914670828475607,0.5835667064611694,0,0
15,0.59,0.0,0.01,0.01,0.26,0.5876448947871656,0.586577870995976,0,0
15,0.52,0.0,0.03,0.01,0.26,0.5876448947871656,0.586577870995976,0,0
15,0.47,0.0,0.01,0.02,0.25,0.628585744767413,0.6193921712858319,0,0
15,0.47,0.0,0.01,0.01,0.26,0.6244530115300317,0.6239414621344129,0,0
15,0.47,0.0,0.02,0.02,0.25,0.628585744767413,0.6193921712858319,0,0
15,0.44,0.0,0.01,0.03,0.14,0.5735562042259961,0.6128068698235279,0,0
7,0.3,0.0,0.01,0.01,0.26,0.6495968824376548,0.6326694247911968,0,0
15,0.48,0.0,0.01,0.01,0.26,0.6244530115300317,0.6239414621344129,0,0
15,0.45,0.0,0.01,0.01,0.26,0.6244530115300317,0.6239414621344129,0,0
