max_depth,max_features,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,score,generalization_score,max,min
9,0.267458909988376,0.30138168803582105,0.083360328995513,0.070058434405707,0.123505898079574,0.9305968797093168,0.7759642321565792,0,0
7,0.6020791473690711,0.48183138025051403,0.044472480364563007,0.38018445062536704,0.078331441745601,1.0043711746891228,0.8375444328238856,1,0
9,0.7033204209752381,0.035518029098943006,0.014036718835817,0.010973585341781,0.25544111374655504,0.5647233482240218,0.6218475402836945,0,0
12,0.544787159447375,0.48930917111638206,0.22425114674628402,0.08335745696734101,0.20856784511275603,1.0043711746891228,0.8375444328238856,0,0
3,0.18925567537030202,0.07167664370452301,0.39507149928225904,0.110006634215878,0.050218066274631004,1.0043711746891228,0.8375444328238856,0,0
11,0.58,0.0,0.02,0.26,0.3,0.6243744449459105,0.6084555084785936,0,0
15,0.99,0.0,0.01,0.01,0.49,0.6530771462942688,0.5823631356907221,0,0
15,0.9,0.0,0.01,0.01,0.49,0.6530771462942688,0.5823631356907221,0,0
15,0.47,0.0,0.21,0.76,0.06,1.0043711746891228,0.8375444328238856,0,0
15,0.72,0.0,0.01,0.01,0.49,0.6744690480702643,0.608516868227568,0,0
9,0.7,0.0,0.01,0.01,0.26,0.5630115529835541,0.6258704964590572,0,1
15,0.49,0.0,0.01,0.01,0.49,0.8062243831703408,0.6941618480810403,0,0
15,0.01,0.0,0.01,0.01,0.49,0.9542175441817211,0.793940486574058,0,0
9,0.67,0.0,0.01,0.01,0.32,0.6107915976702316,0.6105642986811892,0,0
15,0.99,0.0,0.02,0.01,0.49,0.6530771462942688,0.5823631356907221,0,0
15,0.69,0.0,0.01,0.01,0.49,0.6980788517922689,0.6085013926712362,0,0
11,0.49,0.0,0.49,0.99,0.47,1.0043711746891228,0.8375444328238856,0,0
15,0.53,0.0,0.03,0.01,0.26,0.5876448947871656,0.586577870995976,0,0
15,0.36,0.0,0.01,0.01,0.49,0.8229901605700123,0.7106239003797399,0,0
15,0.58,0.0,0.01,0.01,0.26,0.5876448947871656,0.586577870995976,0,0
15,0.5,0.0,0.01,0.01,0.49,0.7846100593849468,0.6786428218896196,0,0
9,0.73,0.0,0.01,0.01,0.29,0.574442778052276,0.5947753986525681,0,0
11,0.58,0.0,0.01,0.01,0.26,0.5876448947871656,0.586577870995976,0,0
15,0.64,0.0,0.01,0.01,0.29,0.5798041289899581,0.5962016914022982,0,0
9,0.66,0.0,0.01,0.01,0.32,0.6107915976702316,0.6105642986811892,0,0
15,0.62,0.0,0.02,0.01,0.3,0.5882587148034744,0.6132111022119566,0,0
8,0.74,0.0,0.01,0.01,0.26,0.5630115529835541,0.6258704964590572,0,0
10,0.64,0.0,0.01,0.02,0.29,0.5798041289899581,0.5962016914022982,0,0
15,0.52,0.0,0.01,0.01,0.25,0.5914670828475607,0.5835667064611694,0,0
14,0.66,0.0,0.01,0.01,0.32,0.6107915976702316,0.6105642986811892,0,0
