C,gamma,tol,score,generalization_score,max,min
44.30375245218264,0.000519026301769,0.002576638574613,0.9638681203266666,0.8168594685633336,0,0
43.11710058685489,0.000265249637675,0.003833332156156,0.997633210467419,0.8502615752615813,0,0
20.547625125911335,0.000779422611516,0.071556821617548,0.9871603238945011,0.8382314514748238,0,0
14.135935551752295,0.000619049016677,0.001304907355036,1.0069940286357186,0.8577729637579374,0,0
50.598038746604296,0.0008425518534430001,1.9237305096546492e-05,0.9176306195256878,0.775282897846377,0,0
71.7,0.0008,0.00045,0.879212493104429,0.7414247767779729,0,0
123.4,0.0009,0.00567,0.77923610843822,0.6708940448314404,0,0
187.0,0.0006,0.00531,0.776910244661123,0.6699906685932342,0,0
547.0,0.0004,0.01,0.6580255436996258,0.5929305542069347,0,0
1000.0,0.0001,1e-05,0.7972632548610837,0.680037375741173,0,0
220.0,0.0006,0.00015,0.746645226004947,0.6478410734455915,0,0
404.0,0.0002,0.00032,0.8296483687562277,0.707187504787697,0,0
287.0,0.0009,0.00012,0.6275273070369513,0.579297656061472,0,0
7.873,0.001,1e-05,1.009829156667164,0.8602004721030134,1,0
378.0,0.0005,0.00217,0.685043111876998,0.6022206742371415,0,0
47.3135,0.0007,0.00031,0.9376457384345237,0.7963510141517076,0,0
235.0,0.0007,0.00026,0.7056599764569638,0.617450916881721,0,0
216.0,0.0007,0.00037,0.7220698192356141,0.6311418215846093,0,0
216.1,0.0007,0.00026,0.7219879144889705,0.6311200983911963,0,0
68.3,0.0002,0.05347,0.9936285854183022,0.8441098638437065,0,0
220.1,0.0007,0.0003,0.7186602452899049,0.630257457390395,0,0
547.2,0.0004,0.0009,0.6574280277430579,0.5921166280858515,0,0
172.4,0.0008,0.00013,0.7381805447455614,0.6432250276790181,0,0
731.0,0.0007,0.00015,0.54715355740741,0.5455690706969908,0,1
221.0,0.0006,0.00014,0.7457913763604577,0.6473747353391119,0,0
212.6,0.0006,0.00041,0.7534572055069084,0.6512147482688646,0,0
132.0,0.0007,0.0002,0.809486004895034,0.688099322207108,0,0
172.0,0.0008,0.00013,0.7386674075796733,0.6435642230894394,0,0
205.0,0.0006,0.00017,0.7604658375827735,0.6538836854415714,0,0
393.0,0.0005,0.01089,0.6773420734882676,0.600050575821466,0,0
