C,gamma,tol,score,generalization_score,max,min
44.30375245218264,0.000519026301769,0.002576638574613,0.9638681203266666,0.8168594685633336,0,0
43.11710058685489,0.000265249637675,0.003833332156156,0.997633210467419,0.8502615752615813,0,0
20.547625125911335,0.000779422611516,0.071556821617548,0.9871603238945011,0.8382314514748238,0,0
14.135935551752295,0.000619049016677,0.001304907355036,1.0069940286357186,0.8577729637579374,1,0
50.598038746604296,0.0008425518534430001,1.9237305096546492e-05,0.9176306195256878,0.775282897846377,0,0
212.0,0.0009,0.05784,0.6826374823174148,0.6050952325851274,0,0
93.6,0.0002,0.00078,0.9753640028194777,0.8292052038052681,0,0
402.0,0.0006,0.00715,0.6386085627714128,0.5858548157044613,0,0
274.9,0.0004,0.03694,0.7821953355966352,0.6750328321837701,0,0
45.0,0.0003,0.02117,0.9907466315360942,0.844536428889313,0,0
557.0,0.0002,0.00012,0.7783390151765495,0.6706390416700848,0,0
161.0,0.0007,0.03152,0.7757495321711515,0.6712394146870972,0,0
1000.0,0.0001,1e-05,0.7972632548610837,0.680037375741173,0,0
30.547,0.0007,0.08764,0.971289687699939,0.8214923533376647,0,0
241.3,0.0005,0.0367,0.7626802592865605,0.6582113153981254,0,0
365.0,0.0008,0.05788,0.6148846229403986,0.5711192852724857,0,1
322.0,0.0009,0.02984,0.6160845404475271,0.5702886236599357,0,0
633.0,0.0001,0.07742,0.8683965155787586,0.7413756647025295,0,0
186.0,0.0008,0.05789,0.7250816786507726,0.6339869225660153,0,0
332.0,0.0006,0.02992,0.6747984325754383,0.5975833705828721,0,0
303.0,0.0007,0.02714,0.6636325755102335,0.595862246275652,0,0
229.0,0.0006,0.02998,0.7396689111445319,0.6419023267049311,0,0
572.0,0.0004,0.03693,0.6493890893822252,0.5901319427813817,0,0
112.0,0.0002,0.00012,0.9653640534634024,0.8183996625866158,0,0
188.0,0.0009,0.03347,0.7050411684641957,0.6158063709877153,0,0
140.0,0.0005,0.05,0.850374189214263,0.7285084109230656,0,0
273.0,0.0008,0.03151,0.6589388117050975,0.5926343373548677,0,0
97.9,0.0004,0.06312,0.9268821034747482,0.7836898834800362,0,0
175.0,0.0008,0.07002,0.7385673570681042,0.6398398520603847,0,0
398.8,0.0004,0.05175,0.7169750330465027,0.6247110445042768,0,0
