model,algorithm,best_score
AdaBoost,LLAMBO,0.5070940484194559
AdaBoost,UCB1,0.510278907509407
AdaBoost,UCB1 Variance,0.5127145702343101
AdaBoost,UCB1 KL,0.4969521674510668
DecisionTree,LLAMBO,0.5624291499125973
DecisionTree,UCB1,0.5941284045034496
DecisionTree,UCB1 Variance,0.6279921251217608
DecisionTree,UCB1 KL,0.5511805669143454
MLP_SGD,LLAMBO,0.5600777486623664
MLP_SGD,UCB1,0.5343464084902921
MLP_SGD,UCB1 Variance,0.6650895329056056
MLP_SGD,UCB1 KL,0.548876193689119
RandomForest,LLAMBO,0.5319582921379815
RandomForest,UCB1,0.5143299090276517
RandomForest,UCB1 Variance,0.5630115529835541
RandomForest,UCB1 KL,0.5213191262952219
SVM,LLAMBO,0.5015272751045289
SVM,UCB1,0.54715355740741
SVM,UCB1 Variance,0.6148846229403986
SVM,UCB1 KL,0.4914967296024383
