model,algorithm,best_score
AdaBoost,LLAMBO,0.734918215253581
AdaBoost,UCB1,0.7422673974061168
AdaBoost,UCB1 Variance,0.7422673974061168
AdaBoost,UCB1 KL,0.7422673974061168
DecisionTree,LLAMBO,0.8072130274874179
DecisionTree,UCB1,0.815285157762292
DecisionTree,UCB1 Variance,0.815285157762292
DecisionTree,UCB1 KL,0.815285157762292
MLP_SGD,LLAMBO,0.9485022260936894
MLP_SGD,UCB1,0.9579872483546263
MLP_SGD,UCB1 Variance,0.9579872483546263
MLP_SGD,UCB1 KL,0.9579872483546263
RandomForest,LLAMBO,0.8893341076267905
RandomForest,UCB1,0.8982274487030585
RandomForest,UCB1 Variance,0.8982274487030585
RandomForest,UCB1 KL,0.8982274487030585
SVM,LLAMBO,0.9916473093302361
SVM,UCB1,1.0015637824235386
SVM,UCB1 Variance,1.0015637824235386
SVM,UCB1 KL,1.0015637824235386
