n_estimators,learning_rate,score,generalization_score,max,min
63,1.6646722614124752,0.925,0.9666666666666667,0,0
87,1.722894536960943,0.9333333333333332,0.9666666666666667,0,0
66,0.008354270566129,0.925,0.9,0,0
37,0.000192116597574,0.6916666666666667,0.5666666666666667,0,1
35,0.024452630570839,0.9166666666666666,0.9,0,0
77,0.0116,0.925,0.9,0,0
81,0.0017,0.95,0.9666666666666667,1,0
92,0.0398,0.9166666666666666,0.9,0,0
99,0.0001,0.6916666666666667,0.5666666666666667,0,0
78,0.0016,0.95,0.9666666666666667,0,0
66,0.0017,0.95,0.9666666666666667,0,0
80,0.0042,0.9416666666666667,0.9666666666666667,0,0
80,0.0026,0.9333333333333333,0.9666666666666667,0,0
99,0.0008,0.95,0.9666666666666667,0,0
66,0.0018,0.95,0.9666666666666667,0,0
88,0.1132,0.9166666666666666,0.9,0,0
80,0.0025,0.9416666666666667,0.9666666666666667,0,0
99,0.0009,0.95,0.9666666666666667,0,0
100,0.0001,0.6916666666666667,0.5666666666666667,0,0
46,0.0024,0.9416666666666668,0.9666666666666667,0,0
97,0.0005,0.95,0.9666666666666667,0,0
84,0.0005,0.9333333333333333,0.9666666666666667,0,0
67,0.0007,0.9416666666666668,0.9666666666666667,0,0
79,0.0013,0.95,0.9666666666666667,0,0
89,0.0006,0.95,0.9666666666666667,0,0
56,0.0011,0.95,0.9666666666666667,0,0
92,0.0014,0.95,0.9666666666666667,0,0
86,0.0002,0.7833333333333333,0.5666666666666667,0,0
74,0.0014,0.95,0.9666666666666667,0,0
67,0.0012,0.95,0.9666666666666667,0,0
