hidden_layer_sizes,alpha,batch_size,learning_rate_init,power_t,momentum,score,generalization_score,max,min
139,1.163039571448033,216,0.024491024634012003,0.39357815616936004,0.014222570771709001,0.4,0.2,0,0
95,2.1891618132748293e-05,75,0.0008140675984580001,0.5956702712389661,0.027524723274259002,0.30833333333333335,0.43333333333333335,0,0
109,1.03865802565003,91,0.003914600869268,0.224590680510133,0.74310397027772,0.55,0.5333333333333333,0,0
71,1.661588777011895,124,0.015982437247411,0.31380635630588305,0.108728553222819,0.2833333333333333,0.43333333333333335,0,1
158,0.031054086075930003,139,0.01082586226325,0.126200635206691,0.026338768980858,0.5833333333333333,0.4666666666666667,0,0
70,0.01429,21,0.08712,0.4,0.675,0.8083333333333333,0.5666666666666667,0,0
92,0.00028,23,0.00891,0.2,0.102,0.775,0.5666666666666667,0,0
158,1e-05,10,0.1,0.1,0.999,0.8916666666666666,1.0,0,0
200,1e-05,10,0.1,0.9,0.999,0.85,0.9666666666666667,0,0
161,1e-05,18,0.1,0.3,0.999,0.8166666666666668,1.0,0,0
200,1e-05,10,0.1,0.1,0.999,0.975,1.0,1,0
158,1e-05,10,0.1,0.9,0.999,0.85,1.0,0,0
200,2e-05,10,0.1,0.9,0.999,0.85,0.9666666666666667,0,0
135,2e-05,10,0.1,0.1,0.999,0.9083333333333334,0.9666666666666667,0,0
198,1e-05,10,0.1,0.1,0.999,0.9583333333333333,0.9666666666666667,0,0
196,2e-05,10,0.1,0.1,0.999,0.7416666666666667,1.0,0,0
179,2e-05,10,0.1,0.9,0.999,0.9666666666666666,1.0,0,0
176,1e-05,20,0.09999,0.9,0.999,0.8,0.5666666666666667,0,0
169,2e-05,10,0.1,0.1,0.999,0.825,0.9666666666666667,0,0
200,5e-05,10,0.1,0.9,0.999,0.8583333333333334,0.9666666666666667,0,0
156,1e-05,10,0.1,0.9,0.999,0.8916666666666668,0.9666666666666667,0,0
140,1e-05,10,0.1,0.1,0.999,0.9166666666666666,0.9666666666666667,0,0
191,1e-05,10,0.1,0.9,0.999,0.9166666666666666,1.0,0,0
105,0.00067,13,0.06789,0.5,0.851,0.9,0.9666666666666667,0,0
164,1e-05,10,0.1,0.1,0.999,0.8916666666666666,0.8333333333333334,0,0
106,1e-05,10,0.1,0.5,0.998,0.8916666666666668,1.0,0,0
198,1e-05,10,0.1,0.5,0.999,0.95,1.0,0,0
185,1e-05,10,0.1,0.9,0.999,0.7416666666666667,0.9666666666666667,0,0
200,1e-05,10,0.1,0.5,0.999,0.9,1.0,0,0
122,1e-05,10,0.1,0.1,0.999,0.875,1.0,0,0
