hidden_layer_sizes,alpha,batch_size,learning_rate_init,power_t,momentum,score,generalization_score,max,min
139,1.163039571448033,216,0.024491024634012003,0.39357815616936004,0.014222570771709001,0.4,0.2,0,0
95,2.1891618132748293e-05,75,0.0008140675984580001,0.5956702712389661,0.027524723274259002,0.30833333333333335,0.43333333333333335,0,0
109,1.03865802565003,91,0.003914600869268,0.224590680510133,0.74310397027772,0.55,0.5333333333333333,0,0
71,1.661588777011895,124,0.015982437247411,0.31380635630588305,0.108728553222819,0.2833333333333333,0.43333333333333335,0,1
158,0.031054086075930003,139,0.01082586226325,0.126200635206691,0.026338768980858,0.5833333333333333,0.4666666666666667,0,0
200,1e-05,10,0.1,0.1,0.001,0.9416666666666668,0.7333333333333333,0,0
185,1e-05,10,0.1,0.1,0.001,0.8833333333333334,1.0,0,0
50,1e-05,10,0.1,0.1,0.001,0.9416666666666667,0.9666666666666667,0,0
160,1e-05,10,0.1,0.1,0.001,0.9,0.9333333333333333,0,0
50,7e-05,10,0.09999,0.1,0.001,0.9416666666666667,0.9666666666666667,0,0
89,2e-05,15,0.09998,0.1,0.001,0.95,0.9,0,0
174,1e-05,10,0.1,0.1,0.001,0.95,0.9666666666666667,0,0
55,1e-05,10,0.09999,0.1,0.001,0.8583333333333334,0.9666666666666667,0,0
197,2e-05,11,0.09999,0.1,0.001,0.925,0.9666666666666667,0,0
200,2e-05,10,0.09999,0.1,0.001,0.9416666666666668,0.7333333333333333,0,0
158,1e-05,10,0.09999,0.1,0.001,0.8666666666666666,1.0,0,0
200,1e-05,10,0.09999,0.1,0.001,0.9416666666666668,0.7333333333333333,0,0
59,1e-05,10,0.1,0.1,0.001,0.9083333333333334,0.8666666666666667,0,0
112,3e-05,25,0.09998,0.5,0.011,0.6916666666666667,0.9666666666666667,0,0
50,2e-05,10,0.09999,0.1,0.001,0.9416666666666667,0.9666666666666667,0,0
108,5e-05,10,0.09997,0.2,0.003,0.9083333333333334,1.0,0,0
196,1e-05,10,0.1,0.1,0.001,0.9166666666666667,0.5666666666666667,0,0
74,6e-05,10,0.09999,0.1,0.001,0.9583333333333334,1.0,0,0
161,3e-05,25,0.09998,0.7,0.001,0.675,0.6,0,0
167,2e-05,11,0.09998,0.1,0.001,0.9583333333333334,0.9,0,0
57,1e-05,10,0.1,0.1,0.001,0.8916666666666668,0.9333333333333333,0,0
179,4e-05,10,0.09999,0.1,0.001,0.9666666666666668,1.0,1,0
81,1e-05,10,0.1,0.1,0.001,0.95,0.9666666666666667,0,0
185,2e-05,11,0.09999,0.1,0.001,0.825,1.0,0,0
198,1e-05,10,0.1,0.1,0.001,0.9416666666666668,0.9666666666666667,0,0
