C,gamma,tol,score,generalization_score,max,min
44.30375245218264,0.000519026301769,0.002576638574613,0.9416666666666668,1.0,0,0
43.11710058685489,0.000265249637675,0.003833332156156,0.925,0.9333333333333333,0,0
20.547625125911335,0.000779422611516,0.071556821617548,0.9333333333333332,1.0,0,0
14.135935551752295,0.000619049016677,0.001304907355036,0.9166666666666666,0.9333333333333333,0,1
50.598038746604296,0.0008425518534430001,1.9237305096546492e-05,0.95,1.0,0,0
187.0,0.0009,0.06543,0.9583333333333334,1.0,1,0
245.6,0.0006,0.09672,0.9583333333333334,1.0,0,0
264.0,0.0009,0.05791,0.9583333333333334,1.0,0,0
787.0,0.0009,0.08969,0.95,1.0,0,0
349.0,0.0007,0.09997,0.9583333333333334,1.0,0,0
768.0,0.0008,0.08761,0.95,1.0,0,0
318.0,0.0009,0.02357,0.9583333333333334,1.0,0,0
155.0,0.0007,0.03549,0.9583333333333334,1.0,0,0
278.0,0.0008,0.02001,0.9583333333333334,1.0,0,0
421.5,0.0007,0.01614,0.9583333333333334,1.0,0,0
292.0,0.0008,0.04321,0.9583333333333334,1.0,0,0
364.0,0.0008,0.08547,0.9583333333333334,1.0,0,0
160.0,0.0006,0.02345,0.9583333333333334,1.0,0,0
567.0,0.0002,0.08574,0.9583333333333334,1.0,0,0
603.0,0.0006,0.00876,0.9583333333333334,1.0,0,0
922.0,0.0009,0.04082,0.95,1.0,0,0
347.0,0.0004,0.06453,0.9583333333333334,1.0,0,0
380.8921,0.0009,0.06354,0.9583333333333334,1.0,0,0
611.0,0.0009,0.04678,0.95,1.0,0,0
472.0,0.0006,0.02,0.9583333333333334,1.0,0,0
246.5569,0.0009,0.09671,0.9583333333333334,1.0,0,0
743.0,0.0009,0.08123,0.95,1.0,0,0
140.0,0.0005,0.01567,0.9583333333333334,1.0,0,0
611.0,0.0006,0.00877,0.9583333333333334,1.0,0,0
339.5,0.0008,0.05324,0.9583333333333334,1.0,0,0
