C,gamma,tol,score,generalization_score,max,min
44.30375245218264,0.000519026301769,0.002576638574613,0.9416666666666668,1.0,0,0
43.11710058685489,0.000265249637675,0.003833332156156,0.925,0.9333333333333333,0,0
20.547625125911335,0.000779422611516,0.071556821617548,0.9333333333333332,1.0,0,0
14.135935551752295,0.000619049016677,0.001304907355036,0.9166666666666666,0.9333333333333333,0,1
50.598038746604296,0.0008425518534430001,1.9237305096546492e-05,0.95,1.0,0,0
115.0,0.0009,0.02435,0.9583333333333334,1.0,0,0
791.0,0.0007,0.05555,0.95,1.0,0,0
193.0,0.0007,0.07857,0.9583333333333334,1.0,0,0
131.0,0.0006,0.03333,0.9583333333333334,1.0,0,0
141.0,0.0009,0.0243,0.9583333333333334,1.0,0,0
161.0,0.0009,0.08412,0.9583333333333334,1.0,0,0
108.0,0.0008,0.03196,0.9583333333333334,1.0,0,0
99.999,0.0009,0.04,0.9583333333333334,1.0,0,0
299.0,0.0009,0.05127,0.9583333333333334,1.0,0,0
108.2,0.0008,0.03196,0.9583333333333334,1.0,0,0
211.0,0.0007,0.05675,0.9583333333333334,1.0,0,0
114.9,0.0009,0.02267,0.9583333333333334,1.0,0,0
431.0,0.0009,0.03333,0.9666666666666668,1.0,1,0
653.5,0.0009,0.025,0.95,1.0,0,0
149.0,0.0009,0.02502,0.9583333333333334,1.0,0,0
260.0,0.0008,0.03334,0.9583333333333334,1.0,0,0
301.0,0.0008,0.05128,0.9583333333333334,1.0,0,0
359.0,0.0009,0.03244,0.9583333333333334,1.0,0,0
654.9,0.0009,0.03777,0.95,1.0,0,0
196.0,0.0009,0.03,0.9583333333333334,1.0,0,0
274.0,0.0009,0.03695,0.9583333333333334,1.0,0,0
543.0,0.0009,0.03001,0.95,1.0,0,0
374.0,0.0009,0.03333,0.9583333333333334,1.0,0,0
177.0,0.0009,0.04611,0.95,1.0,0,0
714.0,0.0009,0.08542,0.95,1.0,0,0
