model,algorithm,best_score
AdaBoost,LLAMBO,0.95
AdaBoost,UCB1,0.95
AdaBoost,UCB1 Variance,0.95
AdaBoost,UCB1 KL,0.9594999999999999
DecisionTree,LLAMBO,0.95
DecisionTree,UCB1,0.95
DecisionTree,UCB1 Variance,0.95
DecisionTree,UCB1 KL,0.9594999999999999
MLP_SGD,LLAMBO,0.95
MLP_SGD,UCB1,0.975
MLP_SGD,UCB1 Variance,0.9666666666666668
MLP_SGD,UCB1 KL,0.9594999999999999
RandomForest,LLAMBO,0.95
RandomForest,UCB1,0.95
RandomForest,UCB1 Variance,0.95
RandomForest,UCB1 KL,0.9594999999999999
SVM,LLAMBO,0.9583333333333334
SVM,UCB1,0.9583333333333334
SVM,UCB1 Variance,0.9666666666666668
SVM,UCB1 KL,0.9679166666666668
