model,algorithm,best_score
AdaBoost,LLAMBO,0.97192118226601
AdaBoost,UCB1,0.9816403940886701
AdaBoost,UCB1 Variance,0.9816403940886701
AdaBoost,UCB1 KL,0.9816403940886701
DecisionTree,LLAMBO,0.9366995073891626
DecisionTree,UCB1,0.9460665024630542
DecisionTree,UCB1 Variance,0.9460665024630542
DecisionTree,UCB1 KL,0.9460665024630542
MLP_SGD,LLAMBO,0.6066502463054186
MLP_SGD,UCB1,0.6127167487684728
MLP_SGD,UCB1 Variance,0.6127167487684728
MLP_SGD,UCB1 KL,0.6127167487684728
RandomForest,LLAMBO,0.9509852216748769
RandomForest,UCB1,0.9604950738916257
RandomForest,UCB1 Variance,0.9604950738916257
RandomForest,UCB1 KL,0.9604950738916257
SVM,LLAMBO,0.8243842364532019
SVM,UCB1,0.8326280788177339
SVM,UCB1 Variance,0.8326280788177339
SVM,UCB1 KL,0.8326280788177339
